,movies,year
350,theressomethingaboutmary_dialog.txt,1998
351,grandtheftparsons_dialog.txt,2003
352,blastfromthepastthe_dialog.txt,1999
353,lordoftheringsreturnoftheking_dialog.txt,2003
354,tomorrowneverdies_dialog.txt,1997
355,angeleyes_dialog.txt,2001
356,blackdahliathe_dialog.txt,2006
357,takinglives_dialog.txt,2004
358,casino_dialog.txt,1995
359,rockthe_dialog.txt,2015
360,startrekthemotionpicture_dialog.txt,1979
361,mulhollanddrive_dialog.txt,2001
362,wrestlerthe_dialog.txt,2008
363,jayandsilentbobstrikeback_dialog.txt,2001
364,majorleague_dialog.txt,1989
365,truegrit_dialog.txt,2010
366,sourcecode_dialog.txt,2011
367,girlwiththedragontattoothe_dialog.txt,2011
368,kingsspeechthe_dialog.txt,2010
369,shivers_dialog.txt,1975
370,fightclub_dialog.txt,2007
371,getcarter_dialog.txt,1971
372,aloneinthedark_dialog.txt,1982
373,surrogates_dialog.txt,2009
374,unbreakable_dialog.txt,2000
375,ted_dialog.txt,2012
376,serialmom_dialog.txt,1994
377,bodyguard_dialog.txt,1992
378,boxthe_dialog.txt,2014
379,frankenstein_dialog.txt,2014
380,indianajonesandthelastcrusade_dialog.txt,1989
381,badboys_dialog.txt,2010
382,fiveeasypieces_dialog.txt,1970
383,simone_dialog.txt,2002
384,uglytruththe_dialog.txt,2009
385,onlygodforgives_dialog.txt,2013
386,davebarryscompleteguidetoguys_dialog.txt,2021
387,gamer_dialog.txt,2009
388,purplerain_dialog.txt,1984
389,inventionoflyingthe_dialog.txt,2009
390,127hours_dialog.txt,2010
391,outofsight_dialog.txt,1998
392,missionimpossible_dialog.txt,2022
393,alien3_dialog.txt,1992
394,donniebrasco_dialog.txt,1997
395,wildhogs_dialog.txt,2007
396,moonrisekingdom_dialog.txt,2012
397,stingthe_dialog.txt,2021
398,marthamarcymaymarlene_dialog.txt,2011
399,windchill_dialog.txt,2007
400,avengersthe_dialog.txt,2019
401,aliennation_dialog.txt,1988
402,dogdayafternoon_dialog.txt,1975
403,judgedredd_dialog.txt,1995
404,187_dialog.txt,1997
405,peepingtom_dialog.txt,1960
406,riseoftheguardians_dialog.txt,2012
407,assassins_dialog.txt,1995
408,sexuallife_dialog.txt,2004
409,wildbunchthe_dialog.txt,1969
410,paranorman_dialog.txt,2012
411,burningannie_dialog.txt,2004
412,fifthelementthe_dialog.txt,1997
413,nightmareonelmstreetthefinalchapter_dialog.txt,1984
414,griftersthe_dialog.txt,1990
415,sixthsensethe_dialog.txt,1999
416,asgoodasitgets_dialog.txt,1997
417,blow_dialog.txt,2001
418,bigbluethe_dialog.txt,1988
419,lastchanceharvey_dialog.txt,2008
420,peggysuegotmarried_dialog.txt,1986
421,aliens_dialog.txt,1986
422,fargo_dialog.txt,1996
423,wildthings_dialog.txt,1998
424,kundun_dialog.txt,1997
425,nursebetty_dialog.txt,2000
426,lostintranslation_dialog.txt,2003
427,metro_dialog.txt,2004
428,afterschoolspecial_dialog.txt,2017
429,getawaythe_dialog.txt,1972
430,deerhunterthe_dialog.txt,1978
431,americanpresidentthe_dialog.txt,1995
432,pandorum_dialog.txt,2009
433,littleathens_dialog.txt,2005
434,deepcover_dialog.txt,1992
435,terminator2judgementday_dialog.txt,1991
436,jennifereight_dialog.txt,2018
437,killingzoe_dialog.txt,1993
438,midnightcowboy_dialog.txt,1969
439,cincinnatikidthe_dialog.txt,1965
440,pulpfiction_dialog.txt,1994
441,slither_dialog.txt,2006
442,nightmareonelmstreeta_dialog.txt,1984
443,insiderthe_dialog.txt,1999
444,horsewhispererthe_dialog.txt,1998
445,fasttimesatridgemonthigh_dialog.txt,1982
446,soldier_dialog.txt,1998
447,meninblack3_dialog.txt,2012
448,descendantsthe_dialog.txt,2011
449,mummythe_dialog.txt,1999
450,gladiator_dialog.txt,2000
451,fugitivethe_dialog.txt,1993
452,ferrisbuellersdayoff_dialog.txt,1986
453,howtolosefriendsalienatepeople_dialog.txt,2008
454,badsanta_dialog.txt,2003
455,whileshewasout_dialog.txt,2008
456,djangounchained_dialog.txt,2012
457,avventuraltheadventure_dialog.txt,2016
458,hauntingthe_dialog.txt,1999
459,badteacher_dialog.txt,2011
460,debtthe_dialog.txt,2015
461,baddayatblackrock_dialog.txt,1955
462,intheloop_dialog.txt,2009
463,ghostbusters2_dialog.txt,1984
464,bladetrinity_dialog.txt,2004
465,rambofirstbloodiithemission_dialog.txt,1991
466,rush_dialog.txt,2013
467,evildead_dialog.txt,2013
468,diehard_dialog.txt,2020
469,meanstreets_dialog.txt,1973
470,meninblack_dialog.txt,1997
471,ronin_dialog.txt,1998
472,jurassicpark_dialog.txt,1993
473,clashofthetitans_dialog.txt,2010
474,lonestar_dialog.txt,2017
475,braveheart_dialog.txt,1995
476,authorsanonymous_dialog.txt,2014
477,tincup_dialog.txt,1996
478,12yearsaslave_dialog.txt,2013
479,datenight_dialog.txt,2021
480,larrycrowne_dialog.txt,2011
481,groundhogday_dialog.txt,1993
482,informantthe_dialog.txt,2009
483,socialnetworkthe_dialog.txt,2010
484,youvegotmail_dialog.txt,1998
485,ringu_dialog.txt,1998
486,americanpie_dialog.txt,1999
487,mumford_dialog.txt,1999
488,heist_dialog.txt,2015
489,scream_dialog.txt,2022
490,fourrooms_dialog.txt,1995
491,ninjaassassin_dialog.txt,2009
492,afterlife_dialog.txt,2009
493,trumanshowthe_dialog.txt,1998
494,500daysofsummer_dialog.txt,2009
495,enemyofthestate_dialog.txt,1998
496,runawaybride_dialog.txt,1999
497,analyzethat_dialog.txt,2002
498,5050_dialog.txt,1992
499,hanna_dialog.txt,2011
500,wildatheart_dialog.txt,1990
501,passionofjoanofarcthe_dialog.txt,1928
502,backdraft_dialog.txt,1991
503,upintheair_dialog.txt,2009
504,ducksoup_dialog.txt,1933
505,roughshod_dialog.txt,1953
506,alien_dialog.txt,1979
507,hellraiser3hellonearth_dialog.txt,1992
508,lawabidingcitizen_dialog.txt,2009
509,promnight_dialog.txt,1980
510,breakfastclubthe_dialog.txt,1985
511,slumdogmillionaire_dialog.txt,2008
512,oneflewoverthecuckoosnest_dialog.txt,1975
513,deadpoetssociety_dialog.txt,1989
514,gothika_dialog.txt,2003
515,2012_dialog.txt,2009
516,bonfireofthevanities_dialog.txt,1990
517,manchuriancandidatethe_dialog.txt,2004
518,americanshaolinkingofkickboxersii_dialog.txt,1995
519,heavymetal_dialog.txt,1981
520,petsemataryii_dialog.txt,1992
521,intothewild_dialog.txt,2007
522,papadopoulossons_dialog.txt,2012
523,phonebooth_dialog.txt,2002
524,sexliesandvideotape_dialog.txt,1989
525,takingsides_dialog.txt,2001
526,missionimpossibleii_dialog.txt,2000
527,constantine_dialog.txt,2005
528,faceoff_dialog.txt,1971
529,takingofpelhamonetwothreethe_dialog.txt,1974
530,dune_dialog.txt,2021
531,flight_dialog.txt,2012
532,godfatherpartii_dialog.txt,1974
533,bamboozled_dialog.txt,2000
534,ramblingrose_dialog.txt,1991
535,highlander_dialog.txt,1986
536,xxx_dialog.txt,2002
537,gijane_dialog.txt,1997
538,panicroom_dialog.txt,2002
539,citizenkane_dialog.txt,1941
540,prettywomanfinalscript_dialog.txt,2018
541,departedthe_dialog.txt,2006
542,bladeii_dialog.txt,2002
543,drive_dialog.txt,2011
544,frightnight1985_dialog.txt,1980
545,familymanthe_dialog.txt,2000
546,godzilla_dialog.txt,2014
547,allaboutsteve_dialog.txt,1950
548,mrsbrown_dialog.txt,1997
549,beinghuman_dialog.txt,1994
550,frozenriver_dialog.txt,2008
551,burlesque_dialog.txt,2010
552,anonymous_dialog.txt,2011
553,sweethereafterthe_dialog.txt,1997
554,sunshinecleaning_dialog.txt,2008
555,youthinrevolt_dialog.txt,2009
556,roommatethe_dialog.txt,2011
557,christcomplex_dialog.txt,2012
558,shrekthethird_dialog.txt,2007
559,snatch_dialog.txt,2000
560,starwarsanewhope_dialog.txt,1977
561,oblivion_dialog.txt,2013
562,beavisandbuttheaddoamerica_dialog.txt,1996
563,janeeyre_dialog.txt,2011
564,itscomplicated_dialog.txt,2009
565,sugar_dialog.txt,2008
566,kateleopold_dialog.txt,2001
567,whistleblowerthe_dialog.txt,2010
568,hesher_dialog.txt,2010
569,startrekfirstcontact_dialog.txt,1996
570,tinmen_dialog.txt,1987
571,spanglish_dialog.txt,2004
572,halloweenthecurseofmichaelmyers_dialog.txt,1995
573,indianajonesandtheraidersofthelostark_dialog.txt,1981
574,humannature_dialog.txt,2001
575,whenastrangercalls_dialog.txt,2006
576,mrbrooks_dialog.txt,2007
577,sandlotkidsthe_dialog.txt,2014
578,cellular_dialog.txt,2004
579,whitesquall_dialog.txt,1996
580,dogma_dialog.txt,1999
581,seventhsealthe_dialog.txt,1957
582,coriolanus_dialog.txt,2014
583,despicableme2_dialog.txt,2010
584,30minutesorless_dialog.txt,2011
585,masterthe_dialog.txt,2012
586,basquiat_dialog.txt,1996
587,riseoftheplanetoftheapes_dialog.txt,2011
588,privatelifeofsherlockholmesthe_dialog.txt,1970
589,naturalbornkillers_dialog.txt,1994
590,jerrymaguire_dialog.txt,1996
591,hellraiserdeader_dialog.txt,2009
592,daytheearthstoodstillthe_dialog.txt,2008
593,brothersbloomthe_dialog.txt,2008
594,babel_dialog.txt,2006
595,blacksnakemoan_dialog.txt,2006
596,startreknemesis_dialog.txt,2002
597,devilinabluedress_dialog.txt,1995
598,anniversarypartythe_dialog.txt,2001
599,startrekiithewrathofkhan_dialog.txt,1982
600,bridesmaids_dialog.txt,2011
601,henryfool_dialog.txt,1997
602,changeling_dialog.txt,2008
603,senseandsensibility_dialog.txt,1995
604,kafka_dialog.txt,1991
605,waroftheworlds_dialog.txt,2005
606,platoon_dialog.txt,1986
607,birdsthe_dialog.txt,2020
608,entrapment_dialog.txt,1999
609,philadelphia_dialog.txt,1993
610,bound_dialog.txt,1996
611,gattaca_dialog.txt,1997
612,searchersthe_dialog.txt,1956
613,confidence_dialog.txt,2003
614,newsies_dialog.txt,1992
615,48hrs_dialog.txt,1982
616,charade_dialog.txt,1963
617,scream2_dialog.txt,1997
618,shifty_dialog.txt,2008
619,iloveyouphillipmorris_dialog.txt,2009
620,drywhiteseasona_dialog.txt,1989
621,cecilbdemented_dialog.txt,2000
622,livinginoblivion_dialog.txt,1995
623,gandhi_dialog.txt,1982
624,juno_dialog.txt,2007
625,leviathan_dialog.txt,1989
626,election_dialog.txt,1999
627,psycho_dialog.txt,1960
628,limeythe_dialog.txt,1999
629,stuntmanthe_dialog.txt,2018
630,cirquedufreakthevampiresassistant_dialog.txt,2009
631,tinkertailorsoldierspy_dialog.txt,2011
632,austinpowersthespywhoshaggedme_dialog.txt,1999
633,celestejesseforever_dialog.txt,2012
634,deathtosmoochy_dialog.txt,2002
635,pearlharbor_dialog.txt,2001
636,arcticblue_dialog.txt,1993
637,coraline_dialog.txt,2009
638,manwhoknewtoomuchthe_dialog.txt,1956
639,wallstreet_dialog.txt,1990
640,allthekingsmen_dialog.txt,2006
641,weownthenight_dialog.txt,2007
642,mantrouble_dialog.txt,1992
643,meetjoeblack_dialog.txt,1998
644,hellraiserhellseeker_dialog.txt,2009
645,lasttangoinparis_dialog.txt,1972
646,marypoppins_dialog.txt,1964
647,sweetsmellofsuccess_dialog.txt,1957
648,xfilesfightthefuturethe_dialog.txt,2008
649,crazylove_dialog.txt,2005
650,hillshaveeyesthe_dialog.txt,2006
651,spareme_dialog.txt,2021
652,mechanicthe_dialog.txt,2011
653,punchdrunklove_dialog.txt,2002
654,jacobsladder_dialog.txt,1990
655,wildthingsdiamondsintherough_dialog.txt,2007
656,helpthe_dialog.txt,2014
657,brazil_dialog.txt,1985
658,oceanstwelve_dialog.txt,2004
659,finaldestination2_dialog.txt,2003
660,fighterthe_dialog.txt,2010
661,grossepointblank_dialog.txt,1997
662,awakenings_dialog.txt,1990
663,analyzethis_dialog.txt,1999
664,breakingaway_dialog.txt,1979
665,hesjustnotthatintoyou_dialog.txt,2009
666,waterforelephants_dialog.txt,2011
667,shame_dialog.txt,2011
668,stateandmain_dialog.txt,2000
669,twoforthemoney_dialog.txt,2005
670,heat_dialog.txt,1995
671,extract_dialog.txt,2009
672,mybestfriendswedding_dialog.txt,1997
673,battleofalgiersthe_dialog.txt,1966
674,sweeneytoddthedemonbarberoffleetstreet_dialog.txt,2007
675,newyorkminute_dialog.txt,2004
676,distinguishedgentlemanthe_dialog.txt,1992
677,lastflightthe_dialog.txt,2012
678,allabouteve_dialog.txt,1950
679,grandhotel_dialog.txt,2006
680,hitchcock_dialog.txt,2012
681,aprilfoolsday_dialog.txt,1986
682,islandthe_dialog.txt,2010
683,siegethe_dialog.txt,2021
684,marleyme_dialog.txt,2008
685,eventhorizon_dialog.txt,1997
686,15minutes_dialog.txt,2001
687,iamnumberfour_dialog.txt,2011
688,thunderbirds_dialog.txt,2004
689,monkeybone_dialog.txt,2001
690,saltonseathe_dialog.txt,2002
691,rachelgettingmarried_dialog.txt,2008
692,armyofdarkness_dialog.txt,1992
693,cinemaparadiso_dialog.txt,1988
694,clerks_dialog.txt,1994
695,stelmosfire_dialog.txt,1985
696,insomnia_dialog.txt,2002
697,barrylyndon_dialog.txt,1975
698,beingthere_dialog.txt,1979
699,butterflyeffectthe_dialog.txt,2004
700,smokinaces_dialog.txt,2006
701,glengarryglengross_dialog.txt,1992
702,hallpass_dialog.txt,2011
703,starwarstheempirestrikesback_dialog.txt,1980
704,englishpatientthe_dialog.txt,1996
705,kingofcomedythe_dialog.txt,1999
706,valkyrie_dialog.txt,2008
707,starshiptroopers_dialog.txt,1997
708,readerthe_dialog.txt,2008
709,lordofwar_dialog.txt,2005
710,someonetowatchoverme_dialog.txt,1987
711,thor_dialog.txt,2011
712,loveandbasketball_dialog.txt,2000
713,pointbreak_dialog.txt,1991
